AD,CO,2014,1,436.69590643274853
AD,CO,2014,2,358.3586626139818
AD,CO,2014,3,375.9601706970128
AD,CO,2014,4,203.10296191819464
AD,CO,2014,5,196.3126843657817
AD,CO,2014,6,195.62764456981665
AD,CO,2014,7,238.66120218579235
AD,CO,2014,8,290.24725274725273
AD,CO,2014,9,290.0142653352354
AD,CO,2014,10,301.0159651669086
AD,CO,2014,11,421.5492957746479
AD,CO,2014,12,559.7544338335607
AD,CO,2015,1,614.6487294469357
AD,CO,2015,2,455.6561085972851
AD,CO,2015,3,290.0
AD,CO,2015,4,283.04552590266877
AD,CO,2015,5,206.94822888283377
AD,CO,2015,6,235.93519882179675
AD,CO,2015,7,327.6098901098901
AD,CO,2015,8,252.6027397260274
AD,CO,2015,9,257.7464788732394
AD,CO,2015,10,274.773413897281
AD,CO,2015,11,454.0845070422535
AD,CO,2015,12,649.3860845839017
AD,CO,2016,1,471.448087431694
AD,CO,2016,2,473.32361516034985
AD,CO,2016,3,305.8743169398907
AD,CO,2016,4,271.2121212121212
AD,CO,2016,5,261.30790190735695
AD,CO,2016,6,251.3909224011713
AD,CO,2016,7,292.09809264305176
AD,CO,2016,8,306.33608815427
AD,CO,2016,9,218.45070422535213
AD,CO,2016,10,317.4149659863946
AD,CO,2016,11,274.4791666666667
AD,CO,2016,12,395.21276595744683
AD,CO,2017,1,476.09289617486337
AD,CO,2017,2,340.0311526479751
AD,CO,2017,3,278.30832196452934
AD,CO,2017,4,276.03053435114504
AD,CO,2017,5,127.5390625
AD,CO,2017,6,132.84823284823284
AD,CO,2017,7,133.38658146964858
AD,CO,2017,8,178.0354706684857
AD,CO,2017,9,261.9718309859155
AD,CO,2017,10,269.42148760330576
AD,CO,2017,11,293.58752166377815
AD,CO,2017,12,466.4850136239782
AD,CO,2018,1,517.1662125340599
AD,CO,2018,2,467.0713201820941
AD,CO,2018,3,269.9863574351978
AD,CO,2018,4,210.58451816745657
AD,CO,2018,5,137.41403026134802
AD,CO,2018,6,133.59133126934984
AD,CO,2018,7,139.16083916083917
AD,CO,2018,8,159.56284153005464
AD,CO,2018,9,198.0281690140845
AD,CO,2018,10,238.796992481203
AD,CO,2018,11,261.04815864022663
AD,CO,2018,12,424.14733969986355
AD,CO,2019,1,267.9432624113475
AD,CO,2019,2,280.49921996879874
AD,CO,2019,3,283.67626886145405
AD,CO,2019,4,216.7605633802817
AD,CO,2019,5,186.23417721518987
AD,CO,2019,6,300.7299270072993
AD,CO,2019,7,314.75409836065575
AD,CO,2019,8,188.19599109131403
AD,CO,2019,9,432.8509406657019
AD,CO,2019,10,326.6871165644172
AD,CO,2019,11,387.69716088328073
AD,NO2,2014,1,46.105185185185185
AD,NO2,2014,2,38.70232558139535
AD,NO2,2014,3,32.39970930232558
AD,NO2,2014,4,22.368194842406876
AD,NO2,2014,5,20.256716417910447
AD,NO2,2014,6,19.64460431654676
AD,NO2,2014,7,17.827972027972027
AD,NO2,2014,8,17.480113636363637
AD,NO2,2014,9,19.362962962962964
AD,NO2,2014,10,25.81492537313433
AD,NO2,2014,11,38.30758226037196
AD,NO2,2014,12,37.2453637660485
AD,NO2,2015,1,40.95448079658606
AD,NO2,2015,2,33.64826498422713
AD,NO2,2015,3,22.988183161004432
AD,NO2,2015,4,16.1843853820598
AD,NO2,2015,5,14.653614457831326
AD,NO2,2015,6,19.780966767371602
AD,NO2,2015,7,19.08695652173913
AD,NO2,2015,8,16.521246458923514
AD,NO2,2015,9,17.52914798206278
AD,NO2,2015,10,28.04828660436137
AD,NO2,2015,11,42.183381088825215
AD,NO2,2015,12,52.56077348066298
AD,NO2,2016,1,37.416666666666664
AD,NO2,2016,2,33.106606606606604
AD,NO2,2016,3,23.363888888888887
AD,NO2,2016,4,22.26851851851852
AD,NO2,2016,5,20.426592797783933
AD,NO2,2016,6,17.619402985074625
AD,NO2,2016,7,18.582295988934995
AD,NO2,2016,8,16.957507082152976
AD,NO2,2016,9,18.160796324655436
AD,NO2,2016,10,26.31353591160221
AD,NO2,2016,11,38.687603305785125
AD,NO2,2016,12,53.37206085753804
AD,NO2,2017,1,46.08901251738526
AD,NO2,2017,2,39.698738170347006
AD,NO2,2017,3,31.402489626556015
AD,NO2,2017,4,23.04936305732484
AD,NO2,2017,5,18.73949579831933
AD,NO2,2017,6,18.047142857142855
AD,NO2,2017,7,18.518672199170126
AD,NO2,2017,8,17.930747922437675
AD,NO2,2017,9,19.21173104434907
AD,NO2,2017,10,25.774425287356323
AD,NO2,2017,11,44.18022328548644
AD,NO2,2017,12,45.4427374301676
AD,NO2,2018,1,49.31717451523546
AD,NO2,2018,2,39.78888888888889
AD,NO2,2018,3,31.33426183844011
AD,NO2,2018,4,25.287394957983192
AD,NO2,2018,5,19.907875185735513
AD,NO2,2018,6,18.06896551724138
AD,NO2,2018,7,13.872340425531915
AD,NO2,2018,8,12.15898251192369
AD,NO2,2018,9,16.153716216216218
AD,NO2,2018,10,21.235194585448394
AD,NO2,2018,11,29.80028735632184
AD,NO2,2018,12,48.42674253200569
AD,NO2,2019,1,40.33482142857143
AD,NO2,2019,2,51.033280507131536
AD,NO2,2019,3,32.117478510028654
AD,NO2,2019,4,29.822603719599428
AD,NO2,2019,5,20.107371794871796
AD,NO2,2019,6,23.880177514792898
AD,NO2,2019,7,23.183284457478006
AD,NO2,2019,8,21.383216783216785
AD,NO2,2019,9,23.309119010819167
AD,NO2,2019,10,29.313479623824453
AD,NO2,2019,11,36.79736408566722
AD,PM10,2014,1,24.13224368499257
AD,PM10,2014,2,19.274217585692995
