Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.0389250000,mg/m3,2018-01-01 00:00:00 +01:00,2018-01-01 01:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.0481750000,mg/m3,2018-01-01 01:00:00 +01:00,2018-01-01 02:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.0481750000,mg/m3,2018-01-01 02:00:00 +01:00,2018-01-01 03:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.0389110000,mg/m3,2018-01-01 03:00:00 +01:00,2018-01-01 04:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.0528070000,mg/m3,2018-01-01 04:00:00 +01:00,2018-01-01 05:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.1639800000,mg/m3,2018-01-01 05:00:00 +01:00,2018-01-01 06:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2001120000,mg/m3,2018-01-01 06:00:00 +01:00,2018-01-01 07:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.4891620000,mg/m3,2018-01-01 07:00:00 +01:00,2018-01-01 08:00:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.2890500000,mg/m3,2018-01-01 08:00:00 +01:00,2018-01-01 09:00:00 +01:00,2,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0906A,GB0906A,GB_SamplingPoint_64826,GB_StationProcess_1100,GB_SamplingFeature_1100,CO,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10,hour,0.6781560000,mg/m3,2018-01-01 09:00:00 +01:00,2018-01-01 10:00:00 +01:00,1,1
