Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,125.0000000000,ng/m2/day,2018-01-02 09:00:00 +01:00,2018-01-09 08:50:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,392.0000000000,ng/m2/day,2018-01-09 08:50:00 +01:00,2018-01-16 08:50:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,194.0000000000,ng/m2/day,2018-01-16 08:50:00 +01:00,2018-01-23 08:40:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,89.0000000000,ng/m2/day,2018-01-23 08:40:00 +01:00,2018-01-30 08:35:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,57.0000000000,ng/m2/day,2018-01-30 08:35:00 +01:00,2018-02-06 15:15:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,161.0000000000,ng/m2/day,2018-02-06 15:15:00 +01:00,2018-02-13 09:30:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,81.0000000000,ng/m2/day,2018-02-13 09:30:00 +01:00,2018-02-20 09:00:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-02-20 09:00:00 +01:00,2018-02-27 08:35:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,6396.0000000000,ng/m2/day,2018-02-27 08:55:00 +01:00,2018-03-06 08:50:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1405.0000000000,ng/m2/day,2018-03-06 08:50:00 +01:00,2018-03-13 08:40:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-03-13 08:40:00 +01:00,2018-03-20 08:50:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-03-20 08:50:00 +01:00,2018-03-27 07:55:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0013R,GB0013R,GB_SamplingPoint_69672,GB_StationProcess_3049,GB_SamplingFeature_3049,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1914.0000000000,ng/m2/day,2018-03-27 07:55:00 +01:00,2018-04-03 07:50:00 +01:00,1,1
