Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,672.0000000000,ng/m2/day,2018-01-10 12:33:00 +01:00,2018-02-04 16:10:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,809.0000000000,ng/m2/day,2018-02-04 16:10:00 +01:00,2018-03-04 15:45:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,2096.0000000000,ng/m2/day,2018-03-04 15:45:00 +01:00,2018-04-01 11:23:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1664.0000000000,ng/m2/day,2018-04-01 11:23:00 +01:00,2018-05-05 17:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-05-05 17:30:00 +01:00,2018-06-03 16:43:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-06-03 16:43:00 +01:00,2018-07-01 09:28:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-07-01 09:28:00 +01:00,2018-08-19 14:14:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-08-19 14:14:00 +01:00,2018-09-09 19:45:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-09-09 19:45:00 +01:00,2018-10-08 18:54:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1174.0000000000,ng/m2/day,2018-10-08 18:55:00 +01:00,2018-11-04 10:08:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0017R,GB0017R,GB_SamplingPoint_69516,GB_StationProcess_2979,GB_SamplingFeature_2979,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1165.0000000000,ng/m2/day,2018-11-04 10:08:00 +01:00,2018-12-02 11:40:00 +01:00,1,1
