Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,543.0000000000,ng/m2/day,2017-02-03 17:50:00 +01:00,2017-03-04 12:45:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,172.0000000000,ng/m2/day,2017-03-04 12:45:00 +01:00,2017-04-03 19:45:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,147.0000000000,ng/m2/day,2017-04-03 19:45:00 +01:00,2017-05-01 20:45:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1257.0000000000,ng/m2/day,2017-05-01 20:45:00 +01:00,2017-06-09 16:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,263.0000000000,ng/m2/day,2017-06-09 16:30:00 +01:00,2017-07-01 15:15:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,392.0000000000,ng/m2/day,2017-07-01 15:15:00 +01:00,2017-08-01 20:10:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,177.0000000000,ng/m2/day,2017-08-01 20:10:00 +01:00,2017-09-06 08:45:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,486.0000000000,ng/m2/day,2017-09-06 08:45:00 +01:00,2017-10-02 18:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,197.0000000000,ng/m2/day,2017-10-02 18:30:00 +01:00,2017-11-04 17:30:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,187.0000000000,ng/m2/day,2017-11-04 17:30:00 +01:00,2017-12-02 11:30:00 +01:00,3,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB0006R,GB0006R,GB_SamplingPoint_68913,GB_StationProcess_3040,GB_SamplingFeature_3040,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,204.0000000000,ng/m2/day,2017-12-02 11:30:00 +01:00,2018-01-23 09:45:00 +01:00,3,1
