Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,100.0000000000,ng/m2/day,2018-01-03 12:20:00 +01:00,2018-01-10 13:00:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,155.0000000000,ng/m2/day,2018-01-10 13:00:00 +01:00,2018-01-17 11:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,341.0000000000,ng/m2/day,2018-01-17 11:30:00 +01:00,2018-01-24 13:20:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,58.0000000000,ng/m2/day,2018-01-24 13:20:00 +01:00,2018-01-31 14:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,58.0000000000,ng/m2/day,2018-01-31 14:30:00 +01:00,2018-02-07 12:00:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,392.0000000000,ng/m2/day,2018-02-07 12:00:00 +01:00,2018-02-14 12:30:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,134.0000000000,ng/m2/day,2018-02-14 12:30:00 +01:00,2018-02-21 11:50:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,,ng/m2/day,2018-02-21 11:50:00 +01:00,2018-02-28 12:10:00 +01:00,-1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,1346.0000000000,ng/m2/day,2018-02-28 12:10:00 +01:00,2018-03-07 11:50:00 +01:00,1,1
GB,http://environment.data.gov.uk/air-quality/so,GB_Network_1,Station_GB1055R,GB1055R,GB_SamplingPoint_75745,GB_StationProcess_6033,GB_SamplingFeature_785420,Pb,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7012,var,276.0000000000,ng/m2/day,2018-03-07 11:50:00 +01:00,2018-03-14 11:30:00 +01:00,1,1
