TR600331,TR,CO,hour,11.204,mg/m3,2016-11-27 06:00:00,2016-11-27 07:00:00,1,1
TR600331,TR,CO,hour,13.739,mg/m3,2016-11-27 07:00:00,2016-11-27 08:00:00,1,1
TR600331,TR,CO,hour,7.993,mg/m3,2016-11-27 08:00:00,2016-11-27 09:00:00,1,1
TR600331,TR,CO,hour,8.462,mg/m3,2016-11-28 09:00:00,2016-11-28 10:00:00,1,1
TR600331,TR,CO,hour,8.744,mg/m3,2016-12-10 07:00:00,2016-12-10 08:00:00,1,1
TR600331,TR,CO,hour,8.743,mg/m3,2016-12-10 10:00:00,2016-12-10 11:00:00,1,1
TR600331,TR,CO,hour,11.622,mg/m3,2016-12-23 05:00:00,2016-12-23 06:00:00,1,1
TR600331,TR,CO,hour,12.246,mg/m3,2016-12-23 06:00:00,2016-12-23 07:00:00,1,1
TR600331,TR,CO,hour,7.668,mg/m3,2017-11-12 06:00:00,2017-11-12 07:00:00,1,1
TR600331,TR,CO,hour,7.922,mg/m3,2017-11-12 08:00:00,2017-11-12 09:00:00,1,1
TR600331,TR,CO,hour,9.327,mg/m3,2017-11-26 06:00:00,2017-11-26 07:00:00,1,1
TR600331,TR,CO,hour,8.798,mg/m3,2017-12-03 08:00:00,2017-12-03 09:00:00,1,1
TR600331,TR,CO,hour,11.725,mg/m3,2017-12-03 09:00:00,2017-12-03 10:00:00,1,1
TR600331,TR,CO,hour,7.797,mg/m3,2017-12-03 10:00:00,2017-12-03 11:00:00,1,1
TR600331,TR,CO,hour,7.538,mg/m3,2017-12-03 11:00:00,2017-12-04 12:00:00,1,1
TR600331,TR,CO,hour,9.325,mg/m3,2017-12-09 06:00:00,2017-12-09 07:00:00,1,1
TR600331,TR,CO,hour,8.901,mg/m3,2017-12-09 07:00:00,2017-12-09 08:00:00,1,1
TR600331,TR,CO,hour,8.976,mg/m3,2017-12-16 06:00:00,2017-12-16 07:00:00,1,1
TR600331,TR,CO,hour,7.585,mg/m3,2015-11-06 05:00:00,2015-11-06 06:00:00,1,1
TR600331,TR,CO,hour,8.105,mg/m3,2015-11-06 07:00:00,2015-11-06 08:00:00,1,1
TR600331,TR,CO,hour,10.034,mg/m3,2015-11-07 08:00:00,2015-11-07 09:00:00,1,1
TR600331,TR,CO,hour,7.75,mg/m3,2015-11-13 07:00:00,2015-11-13 08:00:00,1,1
TR600331,TR,CO,hour,7.883,mg/m3,2015-11-15 04:00:00,2015-11-15 05:00:00,1,1
TR600331,TR,CO,hour,9.1,mg/m3,2015-11-19 06:00:00,2015-11-19 07:00:00,1,1
TR600331,TR,CO,hour,9.008,mg/m3,2015-11-20 04:00:00,2015-11-20 05:00:00,1,1
TR600331,TR,CO,hour,8.393,mg/m3,2015-11-20 05:00:00,2015-11-20 06:00:00,1,1
TR600331,TR,CO,hour,7.694,mg/m3,2015-11-20 06:00:00,2015-11-20 07:00:00,1,1
TR600331,TR,CO,hour,8.62,mg/m3,2015-11-21 06:00:00,2015-11-21 07:00:00,1,1
TR600331,TR,CO,hour,10.774,mg/m3,2015-11-21 08:00:00,2015-11-21 09:00:00,1,1
TR600331,TR,CO,hour,11.202,mg/m3,2015-11-24 06:00:00,2015-11-24 07:00:00,1,1
TR600331,TR,CO,hour,9.758,mg/m3,2015-11-24 07:00:00,2015-11-24 08:00:00,1,1
TR600331,TR,CO,hour,9.009,mg/m3,2015-11-25 06:00:00,2015-11-25 07:00:00,1,1
TR600331,TR,CO,hour,7.606,mg/m3,2015-11-27 07:00:00,2015-11-27 08:00:00,1,1
TR600331,TR,CO,hour,7.599,mg/m3,2015-12-07 04:00:00,2015-12-07 05:00:00,1,1
TR600331,TR,CO,hour,9.588,mg/m3,2015-12-07 05:00:00,2015-12-07 06:00:00,1,1
TR600331,TR,CO,hour,9.671,mg/m3,2015-12-07 06:00:00,2015-12-07 07:00:00,1,1
